name,formatted_address,rating,website,opening_hours,cuisine
Wild Boar BBQ Food Truck,"6129 E Washington St, Indianapolis, IN 46219, USA",5,http://wildboarbbq.com/,,
Dashboard Food Truck & Catering,"299 West Main Street, Greenwood, IN 46142, USA",5,http://dashboardfoodtruck.com/,,
Food truck,"8801 E 25th St, Indianapolis, IN 46219, USA",5,https://www.facebook.com/profile.php?id=100088819155439&mibextid=LQQJ4d,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:30\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 1:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",
King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",5,,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",
T-N-T Hot Dogs & Mobile Catering,"395 E Hanna Ave, Indianapolis, IN 46227, USA",5,https://www.facebook.com/TNTCatering8384,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",
The Latin Flavor,"9930 E 38th St, Indianapolis, IN 46235, USA",5,https://www.facebook.com/thelatinflavorfoodtruck/,"['Monday: 12:00\u2009–\u200910:00\u202fPM', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",
Kone Heads FoodTruck,"7260 Michigan Rd, Indianapolis, IN 46268, USA",5,,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20098:00\u202fPM', 'Wednesday: 12:00\u2009–\u20098:00\u202fPM', 'Thursday: 12:00\u2009–\u20098:00\u202fPM', 'Friday: 12:00\u2009–\u20099:00\u202fPM', 'Saturday: 12:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, USA",5,http://mercersnightowl.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 8:30\u202fPM\u2009–\u20092:30\u202fAM', 'Friday: 8:30\u202fPM\u2009–\u20093:30\u202fAM', 'Saturday: 8:30\u202fPM\u2009–\u20093:30\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u20091:00\u202fAM']",
Fiesta Tacos Food Truck,"1565 E Main St, Brownsburg, IN 46112, USA",5,,,Mexican
Oasis Taco Truck,"7085 N Michigan Rd, Indianapolis, IN 46268, USA",5,https://oasis-taco-truck.business.site/?utm_source=gmb&utm_medium=referral,"['Monday: 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 8:30\u2009–\u200911:00\u202fPM', 'Thursday: 8:00\u2009–\u200911:30\u202fPM', 'Friday: Closed', 'Saturday: 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",
